Date,Station,Daily_AQI,Month,Year,Day_of_Week,Season,Lag_1_AQI,Rolling_Mean_3_AQI,Rolling_Mean_7_AQI
2017-01-17,ITO,219.54166666666666,1,2017,1,Winter,312.6666666666667,287.48611111111114,293.1547619047619
2017-01-18,ITO,253.83333333333334,1,2017,2,Winter,219.54166666666666,262.01388888888886,296.82142857142856
2017-01-19,ITO,260.2083333333333,1,2017,3,Winter,253.83333333333334,244.52777777777774,294.99404761904765
2017-01-20,ITO,208.54166666666666,1,2017,4,Winter,260.2083333333333,240.86111111111111,280.8452380952381
2017-01-21,ITO,338.125,1,2017,5,Winter,208.54166666666666,268.9583333333333,274.73809523809524
2017-01-22,ITO,448.2083333333333,1,2017,6,Winter,338.125,331.625,291.5892857142857
2017-01-23,ITO,295.625,1,2017,0,Winter,448.2083333333333,360.65277777777777,289.1547619047619
2017-01-24,ITO,302.2916666666667,1,2017,1,Winter,295.625,348.7083333333333,300.9761904761905
2017-01-25,ITO,372.625,1,2017,2,Winter,302.2916666666667,323.5138888888889,317.94642857142856
2017-01-26,ITO,245.125,1,2017,3,Winter,372.625,306.6805555555556,315.79166666666663
2017-01-27,ITO,101.58333333333333,1,2017,4,Winter,245.125,239.7777777777778,300.51190476190476
2017-01-28,ITO,138.5,1,2017,5,Winter,101.58333333333333,161.73611111111111,271.99404761904765
2017-01-29,ITO,200.83333333333334,1,2017,6,Winter,138.5,146.9722222222222,236.6547619047619
2017-01-30,ITO,405.0,1,2017,0,Winter,200.83333333333334,248.1111111111111,252.2797619047619
2017-01-31,ITO,317.5416666666667,1,2017,1,Winter,405.0,307.7916666666667,254.45833333333331
2017-02-01,ITO,234.0,2,2017,2,Winter,317.5416666666667,318.84722222222223,234.65476190476193
2017-02-02,ITO,314.1666666666667,2,2017,3,Winter,234.0,288.5694444444444,244.51785714285714
2017-02-03,ITO,347.5833333333333,2,2017,4,Winter,314.1666666666667,298.5833333333333,279.6607142857143
2017-02-04,ITO,251.125,2,2017,5,Winter,347.5833333333333,304.2916666666667,295.75
2017-02-05,ITO,63.083333333333336,2,2017,6,Winter,251.125,220.5972222222222,276.07142857142856
2017-02-06,ITO,73.125,2,2017,0,Winter,63.083333333333336,129.1111111111111,228.66071428571428
2017-02-07,ITO,136.66666666666666,2,2017,1,Winter,73.125,90.95833333333331,202.82142857142858
2017-02-08,ITO,277.7916666666667,2,2017,2,Winter,136.66666666666666,162.52777777777774,209.07738095238093
2017-02-09,ITO,261.9166666666667,2,2017,3,Winter,277.7916666666667,225.45833333333334,201.61309523809524
2017-02-10,ITO,242.54166666666666,2,2017,4,Winter,261.9166666666667,260.75,186.60714285714286
2017-02-11,ITO,272.9166666666667,2,2017,5,Winter,242.54166666666666,259.125,189.72023809523807
2017-02-12,ITO,329.4166666666667,2,2017,6,Winter,272.9166666666667,281.625,227.76785714285714
2017-02-13,ITO,295.7916666666667,2,2017,0,Winter,329.4166666666667,299.375,259.57738095238096
2017-02-14,ITO,315.0833333333333,2,2017,1,Winter,295.7916666666667,313.4305555555556,285.0654761904762
2017-02-15,ITO,174.58333333333334,2,2017,2,Winter,315.0833333333333,261.8194444444444,270.32142857142856
